"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_AAPL"
2016-06-21,0.72508169924,1.18375749840481,-3.20796872652911,-4.31643225560924,-2.01320210291367,-2.87121194980163,1.03649101279111
2016-06-22,0.40555611886,1.12800022467355,-3.0515910005649,-4.1069807748254,-1.91269616386263,-2.73007086250742,0.751839100545268
2016-06-23,-0.090881551114,1.13458069144023,-3.06938724623791,-4.13098397574763,-1.92414852980726,-2.7461503039976,0.730621334115863
2016-06-24,0.71760663031,1.11117709037225,-3.00350084855616,-4.04281308891403,-1.88187734336766,-2.68673466793354,2.82524280048396
2016-06-27,-0.82288008043,1.0918898571075,-2.94848110432482,-3.96925512651476,-1.84636723892562,-2.63703290920045,1.82948333929297
2016-06-28,-1.5076393807,1.32402530828203,-3.60178722241513,-4.83955544848869,-2.26550069798381,-3.22419515972427,0.925281756909093
2016-06-29,0.12327922741,1.30262686627612,-3.54135183949075,-4.75889046452642,-2.22187851727461,-3.16718234519896,0.872002950524592
2016-06-30,-0.32833983169,1.23484079796812,-3.35029843099095,-4.50463839680139,-2.09968259490469,-2.99576111282649,0.803940187225074
2016-07-01,0.42207123752,1.23694047406929,-3.35644450878397,-4.51278461550242,-2.10368297509759,-3.00130110943064,0.471120819410158
2016-07-05,-2.2757560227,1.23547507713429,-3.35156192914194,-4.50745172858119,-2.10092477295515,-2.99755387874838,0.53130335223815
2016-07-06,-0.24126717708,1.09875079821276,-2.96685491663221,-3.99509429483056,-1.85863498899469,-2.65550040569848,1.18408950853118
2016-07-07,0.85173501593,1.03519867345249,-2.78723062942222,-3.756128820534,-1.74331306157705,-2.49406477813683,0.706188786502026
2016-07-08,-0.3753518924,1.10299679881992,-2.9785810034235,-4.01069038397401,-1.86617872443595,-2.66603424088664,0.584394712111648
2016-07-11,0.57561486119,1.05554024778845,-2.84530935468314,-3.83311838729052,-1.78070029308254,-2.54621154756107,0.48900101034925
2016-07-12,-2.809573361,1.03408198156888,-2.7850803457335,-3.75261003003523,-1.74206991148802,-2.49195113797344,0.3390114295813
2016-07-13,-1.4561027837,1.02673601013585,-2.77355805715216,-3.72820524295694,-1.75078588138687,-2.48365050054862,0.531654324395885
2016-07-14,1.6840504128,1.00244756517755,-2.70503067607319,-3.63703357494356,-1.70675258328896,-2.42206728059279,0.391642172312778
2016-07-15,0.86547708088,0.982555979158697,-2.64936310887865,-3.56300348140215,-1.67055667961517,-2.37192837071025,0.424079887300728
2016-07-18,1.2711864407,0.948635374126392,-2.55391710696385,-3.43606650445311,-1.60878086354403,-2.28603284499574,0.350200728965155
2016-07-19,0.30334728035,0.93921939861953,-2.52818411498995,-3.40175489143484,-1.59219704263325,-2.2628893177342,0.446592119521481
2016-07-20,-0.93857545107,0.922546508831634,-2.48112490680006,-3.33920545469589,-1.56161708889476,-2.22051159342072,0.422316864992185
2016-07-21,0.5684808928,0.935566578454466,-2.51865214012404,-3.38895397276094,-1.58633106886308,-2.25439620989966,0.618221583276776
2016-07-22,0.42918454928,0.92332945766302,-2.48571825688759,-3.34501715794487,-1.565062114052,-2.22480653117831,0.539255868922982
2016-07-25,0.77131540547,0.954089965413343,-2.57221235816965,-3.46012888797669,-1.62076763770407,-2.30258471587597,0.749079867988952
2016-07-26,0.31030202717,0.952002442275687,-2.56624098696701,-3.45215993395145,-1.61704221569233,-2.2972306964512,0.796551319805148
2016-07-27,0.45370179414,0.993462695511598,-2.68311560185678,-3.6075606913918,-1.69284568410014,-2.40243801009161,1.34876809406637
2016-07-28,-0.56456579759,1.01717328082173,-2.74933373431857,-3.69570019601332,-1.73547548670292,-2.4619547847408,0.661623854871268
2016-07-29,1.9820377827,1.10597798159345,-2.99966742720632,-4.02868282204354,-1.89709990931869,-2.68715553043291,0.694779528715952
2016-08-01,-0.010122482035,1.04930079848856,-2.83923997882769,-3.81543380120432,-1.79277111699746,-2.54265776617773,0.488613244179013
2016-08-02,1.0629682121,1.05927385722233,-2.86746004765131,-3.85299880879072,-1.81070077523992,-2.56798813588619,0.944650348708003
2016-08-03,0.040068115959,1.02725035020362,-2.77697162188731,-3.73267873717477,-1.75220808990179,-2.48656704935115,0.450373995281146
2016-08-04,0.090117152286,1.07306254831959,-2.90642414347277,-3.90483225641452,-1.83570097899264,-2.6030163100282,0.403035856445842
2016-08-05,-0.53021208478,0.982985824903754,-2.65244129270083,-3.56708182833681,-1.67153583331796,-2.37449323521594,0.311484064670908
2016-08-08,-0.7744141607,0.963664377080393,-2.59852478400886,-3.49524359048771,-1.63719988877787,-2.32611196166416,0.417715668763787
2016-08-09,-1.3379282385,0.930078121286427,-2.50420040960976,-3.36968914964927,-1.5766083589467,-2.24133613859675,0.374816213556066
2016-08-10,-0.68830901992,0.935019197300203,-2.51798718891624,-3.38800544693072,-1.5856731174593,-2.25378016056631,0.340128482147862
2016-08-11,6.4963277127,0.895759990598553,-2.40776079696564,-3.24134509241608,-1.51448853804419,-2.15462479764517,0.37794576308753
2016-08-12,1.3501699856,0.884884769680943,-2.37604750947331,-3.19949699025568,-1.49289271537762,-2.12582472283728,0.275841989712691
2016-08-15,-0.12459267782,0.887024130127097,-2.38228137169125,-3.20777306599919,-1.4968931635975,-2.13143350117422,0.317131261662765
2016-08-16,1.7656654833,0.873520684321127,-2.34440208885047,-3.15740582098794,-1.47228383675612,-2.09732490905836,0.438538836661482
2016-08-17,-1.4804337577,0.871109283982162,-2.33734991384675,-3.14807597005206,-1.467623012473,-2.09095730849333,0.902005781195748
2016-08-18,1.253828484,0.887375910469981,-2.38344266983554,-3.20925837607554,-1.497831227346,-2.13252848744702,0.413245319680282
2016-08-19,0.61775327868,0.966132044565307,-2.60515231957327,-3.50422301102757,-1.64063440855086,-2.33190446912094,0.403741596521236
2016-08-22,1.5207329745,0.922865294876748,-2.4829967975504,-3.34183452725772,-1.56147441744713,-2.22194423694667,0.611855919258272
2016-08-23,0.82806103474,0.92953131454801,-2.50165096053414,-3.3666695520905,-1.55906221667126,-2.23860156238615,0.378160834741054
2016-08-24,0.40601642522,0.965644726699282,-2.60375045775182,-3.50240922538732,-1.6245526129385,-2.33047816013573,0.474210019004493
2016-08-25,-0.74441687339,0.940284203154234,-2.53216278998509,-3.40721025455961,-1.57864326711052,-2.26608331423809,0.515102938979285
2016-08-26,-0.064814814868,0.923180299010499,-2.48447779861768,-3.34361602032027,-1.54769335242506,-2.22334634471026,0.909325459422492
2016-08-29,0.23163161313,0.931876320897277,-2.50902825355373,-3.3763295340079,-1.56375074774487,-2.245360781274,0.686315094479702
2016-08-30,1.201700869,0.994560475958898,-2.68683403266177,-3.61264921949346,-1.67774360221395,-2.4054178108481,0.657721337626149
2016-08-31,-0.091340884228,0.979345311053557,-2.64337337366012,-3.55491777869816,-1.64978060619044,-2.36629317108359,0.497352835404084
2016-09-01,-0.14627902729,0.992073244690573,-2.67955469737251,-3.6030299589195,-1.67318213433754,-2.39883809378471,0.464022410305261
2016-09-02,-0.12818165178,0.979220229720365,-2.64329553183477,-3.55480134306315,-1.64993433241386,-2.36622777952434,0.581592643262354
2016-09-06,0.25669233582,0.971863919423601,-2.6227297514363,-3.52737921058878,-1.63654236672703,-2.34779564670547,0.366830434282437
2016-09-07,-0.77724945122,0.964330006215269,-2.60135229196473,-3.49895616725606,-1.62282792187241,-2.32855721737246,0.744841625462398
2016-09-08,0.31333517654,0.925776150983415,-2.49275106373845,-3.35449372328468,-1.5533047046516,-2.23086488622746,1.50006351896709
2016-09-09,-0.75333027098,0.967370836713659,-2.60965295618205,-3.51000141535002,-1.62788845885326,-2.33604271557411,1.48306852771979
2016-09-12,-0.42580764612,1.08845205536952,-2.95101375428206,-3.96399996924661,-1.84618855848384,-2.64319954622723,1.66963201293902
2016-09-13,-0.58566514826,1.14045859266186,-3.09795077885894,-4.1593915962316,-1.94002135339966,-2.775462542672,1.58566914450675
2016-09-14,-0.11221245558,1.20880525436357,-3.29057477189274,-4.41560337796209,-2.06324620469469,-2.94876537926616,3.80781345351116
2016-09-15,-0.76764650812,1.26083774093333,-3.43596800303706,-4.6090146112549,-2.155428948187,-3.07956407316853,1.65213084283543
2016-09-16,0.094339622592,1.52831980299789,-4.18986228095691,-5.61181656929105,-2.63688914062056,-3.75797934263059,1.46236555387521
