"Date","Returns","Sigma2_GARCH","Sigma2_MSGARCH","Sigma2_GAS","RV_AMZN"
2012-03-15,1.1906068254,6.37233723431028,6.699658225442,6.99103507443318,2.17010144070583
2012-03-16,0.33617090503,6.28295184493725,6.64679099736132,6.72372296260236,1.16542093808687
2012-03-19,0.25398540947,6.19619313197688,6.58214087447517,6.47602106100848,1.67179159613992
2012-03-20,3.67076326,6.0919499556969,6.48314456117105,6.11979934127953,3.28170833753493
2012-03-21,-0.31196381224,5.99401424802453,6.41148621612177,5.80514970922227,3.23579507012435
2012-03-22,0.34944974705,6.02693648154422,6.64079822876859,6.18300773917938,2.6595777265943
2012-03-23,1.3721413721,6.02171067740206,6.58391423131899,6.36104282844759,3.09942154523145
2012-03-26,4.0145611158,5.92164670054917,6.36700451343383,6.01360917480302,2.51678031600832
2012-03-27,1.266821117,5.82906599592332,6.29610011087084,5.71400981552341,3.96377714287885
2012-03-28,-2.0833333334,5.7361046374663,6.22362092568765,5.43360938947644,3.36311962110553
2012-03-29,1.7150526945,5.64445453871879,6.15403712113235,5.16159150161467,4.19664013542931
2012-03-30,-1.0263427986,5.58327066747376,6.14110040524961,5.11685180503135,2.40237084998539
2012-04-02,-2.2023603771,5.55819399747999,6.17766546696258,5.25902429877431,2.21893517123338
2012-04-03,0.81292602863,5.53045995583431,6.15914907975978,5.32847277727662,2.59482125661057
2012-04-04,-2.8398277071,5.44903917183835,6.02589980816716,5.08280832442525,2.63509374088873
2012-04-05,0.20619619554,5.36688884792029,5.95943804107619,4.85677991065487,1.91680248986059
2012-04-09,-1.2963629815,5.31545393605673,5.95703798846362,4.80089202947849,1.74462228935353
2012-04-10,-2.548600615,5.25049443910864,5.89385240856664,4.6999242088665,3.24773382377627
2012-04-11,0.52946839241,5.16929188793058,5.8140733619994,4.46075385932907,2.16055064041857
2012-04-12,1.4470394211,5.08959549575159,5.75479119233273,4.23059472910331,3.46354691642711
2012-04-13,-1.1694373065,5.2203926711,6.37826020683166,4.76342007279526,2.07381712363002
2012-04-16,-1.5706250663,5.14275694826166,5.83144837899178,4.52834627977759,3.72575512467808
2012-04-17,1.5579514822,5.06419721976548,5.7513090631896,4.3003588814672,2.12384842720849
2012-04-18,1.4225808165,5.01212781163036,5.74266935437936,4.27250015441926,2.84703020963027
2012-04-19,0.015701051962,5.18744708291969,6.60078990072917,4.86569869490992,2.9196430069969
2012-04-20,-0.58608058616,5.12829842980482,5.87572802024278,4.78013818859632,1.85802715159691
2012-04-23,-0.91588588257,5.13256473886704,5.95120693844378,4.96232534774044,3.35792580046218
2012-04-24,1.1102847428,5.09499080372406,5.85629658727904,4.99514792330461,2.52260642035398
2012-04-25,2.1488992801,5.0398064722214,5.78700322926242,4.87150724986076,1.87027819989812
2012-04-26,0.80753008951,5.05530305318844,5.92106230205469,5.08515253863893,1.84947432665777
2012-04-27,15.745701311,4.98562829695606,5.73780702244178,4.88562474297735,8.11576478877708
2012-04-30,2.2261406215,5.05941262534061,6.08551262052995,5.27415926474737,5.13922620468354
2012-05-01,-0.80206985767,4.98218164867186,5.74090298925,4.99325751184919,2.12993531354647
2012-05-02,0.091288471594,4.94149453245919,5.74392133510827,4.93912296395937,2.33380879445601
2012-05-03,-0.3474484256,4.98859088618224,5.96574194144477,5.2492211812113,1.91619768005624
2012-05-04,-2.3796033995,4.91547513987186,5.70004903307405,4.99615628338261,1.97473576391016
2012-05-07,0.52234474751,4.87011435128753,5.69108721456102,4.95121148317816,2.47111893169521
2012-05-08,-0.55960206073,4.82622141881587,5.66233864013519,4.86576215300665,3.76740712704005
2012-05-09,-0.41089772221,4.80374515094793,5.67998916961247,4.89520674636413,4.86640577769389
2012-05-10,1.6638263522,4.76609253402233,5.63181286613657,4.8864321827801,3.04188886867241
2012-05-11,0.43671974945,4.7232126277219,5.59215003879554,4.84072561659093,2.72965779752465
2012-05-14,-2.0862614195,4.65415785798103,5.50772159138926,4.58311008803549,2.39136957208087
2012-05-15,0.6549140986,4.59539368457107,5.47381242415602,4.39425140606187,3.68212765289694
2012-05-16,-0.14706537704,4.54792098254947,5.45330057743805,4.27959457746584,5.02237890175849
2012-05-17,-2.543961439,4.49844057673884,5.41526274388794,4.18890724077735,3.89467148595838
2012-05-18,-2.0653965928,4.50194341540403,5.50817045320749,4.37558196208942,5.90181000781244
