"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AAPL"
2014-02-11,-7.9927338784,1.5834473270576,1.54952984150205,1.6523174603796,-3.67846290647376,-3.59320293288215,-3.74227536892313,-4.82714885875414,-4.67217577088039,-4.94776541141679,-2.23864177364904,-2.20838474226156,-2.37869542372716,-3.17438688291047,-3.07208910091628,-3.27243127077465,0.772032866052994
2014-02-12,-1.1352418559,2.42800949206709,2.44817711892172,2.00580889616931,-5.71866556690018,-5.74920564473761,-4.61340318557761,-7.72387548546609,-7.70493873025287,-6.21423474870701,-3.52813796910445,-3.56676860948529,-2.90889376049465,-5.01039362142881,-5.00011693875797,-4.04352078622549,1.01143853767426
2014-02-13,-0.19331003487,2.37799354596026,2.55480608542821,1.98720303021746,-5.60003817867879,-5.97919755593578,-4.56735902228918,-7.56731821518816,-8.05260981081561,-6.15289410771145,-3.45577751651599,-3.7235539048254,-2.8796448594524,-4.90682384137978,-5.26892710056886,-4.00264846765594,0.592931872185111
2014-02-14,0.16367136068,2.31044640613467,2.39555447889378,1.91517315687001,-5.43505974493913,-5.60131620565657,-4.39553051196876,-7.35129191028229,-7.53843116044418,-5.92269559622564,-3.35716320387065,-3.48204147484102,-2.76734085426879,-4.76409502190456,-4.92880961536485,-3.84996277331557,0.794845012548885
2014-02-18,0.18577706742,2.24636449975442,1.92391197001251,1.84349715375308,-5.2835850477593,-4.49177656244673,-4.22234468281525,-7.148840663586,-6.03187398917391,-5.69235683705981,-3.26437982539135,-2.77478532627553,-2.65769802066558,-4.63033699639587,-3.89684442628181,-3.69733031809234,0.798436289038522
2014-02-19,1.4475704345,2.18606939355595,1.82124276333831,1.77320223694068,-5.13860014189119,-4.23555529264475,-4.05897551116622,-6.95165813154177,-5.68128589831841,-5.47234519697475,-3.17417049682421,-2.60956395011537,-2.56064495676317,-4.50073377881559,-3.66911304330973,-3.55184664951821,1.4085087708836
2014-02-20,0.74687002489,2.15107881353003,1.80206330263365,1.7683730137816,-5.05774962956089,-4.19082278456478,-4.04379176425834,-6.84271756097634,-5.61928255752307,-5.45392285690345,-3.12327305459632,-2.58117429589291,-2.54650797277307,-4.42881308027819,-3.62762451665661,-3.53961577538025,1.13898426664725
2014-02-21,0.58287867487,2.10202804826818,1.76184824382302,1.71899773200708,-4.94298533961617,-4.09699978413625,-3.92247990186573,-6.68689522988338,-5.49138066513778,-5.2933047551621,-3.05117330026687,-2.5232390085675,-2.46748838536302,-4.32606420554095,-3.54216470998509,-3.43359870536622,0.778266771329644
2014-02-24,1.3989970927,2.05344920302025,1.73176354061428,1.66473103465921,-4.82908877869748,-4.01156310781418,-3.78859019029315,-6.53340062086825,-5.37955504361127,-5.11757446563534,-2.9636799193182,-2.47458459558813,-2.3823115339079,-4.22494746768777,-3.47608764113242,-3.31743030951167,1.31383210318004
2014-02-25,1.791487069,2.0212913833184,1.73690355509252,1.65963057510828,-4.75399441622469,-4.01935752663892,-3.78507324854724,-6.42977554314886,-5.39379330292656,-5.10994795556262,-2.92944175475723,-2.48536032578408,-2.38527919331488,-4.15785226053355,-3.48831334844159,-3.31283980357463,0.941638413792951
