"Date","Returns","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","RV_APPLE"
2019-03-04,0.50294336179,1.69539578949621,1.52557981408345,3.05046040886304,1.41555653965053
2019-03-05,-0.18197327263,1.67870464051961,1.55704067558906,2.98065949835351,0.772839242932382
2019-03-06,-0.57540021662,1.59085196391495,1.43646462897326,2.88953104345614,0.629005270315949
2019-03-07,-1.157460463,1.51326317035719,1.3302543552676,2.82483160714314,1.16781090393583
2019-03-08,0.23768115952,1.48266057613142,1.30999957981898,2.37503314858001,1.19708925525377
2019-03-11,3.4642299463,1.57390024010138,1.49199579222529,2.34272209042635,0.721572878456242
2019-03-12,1.1235326998,1.51570208331152,1.37610433050902,2.33566463614033,0.882719534923748
2019-03-13,0.44220883319,2.50336541353107,1.99490213668283,2.84156243142068,0.925414439260277
2019-03-14,1.1116614385,2.39242134126977,1.98817978659139,2.72559390492199,0.71105638773114
2019-03-15,1.3008218582,2.21480866055232,1.81033712294238,2.75245253598121,0.770942533557473
2019-03-18,1.0208467655,2.14079811971677,1.82150593836056,2.74172164077449,0.711213298053234
2019-03-19,-0.79246888627,2.12089284256503,1.89287857599588,2.48706245972333,1.07685073358366
2019-03-20,0.87385407169,2.04198582345881,1.86552477512279,2.42090898922562,1.56968315347144
2019-03-21,3.6830357145,1.97688443146021,1.85730709018946,2.35967350345764,1.31799028501037
2019-03-22,-2.0708391,1.90121523581529,1.79751506868604,2.30686763884667,2.97166877245756
2019-03-25,-1.2091075634,2.98500252444821,2.55009949922897,3.03792484548899,4.05819476423502
2019-03-26,-1.0331673201,3.16520560235444,2.98237190015815,3.14631096142705,2.87262928491904
2019-03-27,0.89940574981,3.04088990104614,2.99839885253807,3.2331783794854,2.26445927245225
2019-03-28,0.1326471056,2.88268014974179,2.93387771770254,2.98447889764615,1.14414154652058
2019-03-29,0.65175922009,2.67934763163482,2.7308522089526,2.80653427989843,0.796145541331909
2019-04-01,0.67912608592,2.45735142834739,2.43343628196075,2.58686321949785,1.34501378221783
2019-04-02,1.45367078,2.28593246737834,2.23429664113809,2.43304044650941,0.741355358518365
2019-04-03,0.6854963407,2.13732499589588,2.0682308506811,2.31254349743464,0.935952464976507
2019-04-04,0.17404658302,2.14876136132152,2.17440462421655,2.5449496504243,0.810024243500399
2019-04-05,0.66942613321,2.01982477080079,2.0177888978426,2.40985546768712,0.51753128702607
2019-04-08,1.573604061,1.87424868023096,1.81528076258597,2.45311636922526,0.75481341664707
2019-04-09,-0.29985007504,1.781545408655,1.70174444215095,2.20394576022414,1.18619359955167
2019-04-10,0.5614035088,1.88016495396716,1.88492590047159,2.45278729171995,0.828891055356795
2019-04-11,-0.8324194996,1.76906545230458,1.74174900449734,2.35772677377318,0.599522284034984
2019-04-12,-0.040211108353,1.67578811830085,1.61300118473599,1.99866187251828,0.99745579799589
2019-04-15,0.18102277863,1.66879037632519,1.64987675734389,2.0472248170156,0.571334761276928
2019-04-16,0.010038648906,1.56933498072502,1.48395085749901,1.92140319994858,0.917866215640634
2019-04-17,1.9473023838,1.47950902969831,1.35290873031084,2.15474724251439,1.25255149338722
2019-04-18,0.3593757694,1.4241631998372,1.24727451908456,1.77697716864665,0.650358632847205
2019-04-22,0.32865692137,1.68406553244258,1.56249943124085,1.8598584963097,0.57839626803011
2019-04-23,1.4423311985,1.59710160290364,1.42647342395221,1.71525605702067,0.443904519293028
2019-04-24,-0.15423173318,1.51645266221067,1.30730611799348,1.61823970728649,0.623948356684434
2019-04-25,-0.90751110256,1.61293511755114,1.47086492369475,1.73579210622264,0.772654730916546
2019-04-26,-0.47739672636,1.53285927758517,1.35313976720521,1.61810360486314,1.06557823122013
2019-04-29,0.15173764077,1.55555166804615,1.44435260060194,1.64871336478016,0.507617920354324
2019-04-30,-1.925614584,1.50866348218356,1.38934829383653,1.56481939292764,1.71971397286952
2019-05-01,4.9085563363,1.44458968291455,1.27787615169775,1.4698526505254,2.44292527117417
2019-05-02,-0.65076952324,1.8009685280473,1.66320516634597,1.95755747765672,2.18693682581611
2019-05-03,1.2431269426,3.92184999012098,2.52394745435663,3.54375758853639,0.522056724137969
2019-05-06,-1.544273908,3.55742165319201,2.38556282595408,3.27181253620676,1.36571800716153
2019-05-07,-2.6957022255,3.32069259483602,2.37995304895715,3.10526059353736,2.78160899598697
2019-05-08,0.019718031945,3.28640195188949,2.62689696987316,2.62868876321488,2.38025551038813
2019-05-09,-1.0744208969,3.71816148028635,3.29043027414525,3.28182979871149,4.20804342872891
2019-05-10,-1.3853463366,3.32565958835912,2.90922798753022,2.69163176827995,4.75067928736961
2019-05-13,-5.8119484735,3.13538079775272,2.87375199803773,2.65068090469445,5.49151859242169
2019-05-14,1.5830282146,3.06728137858799,3.01444926426993,2.86014009835998,2.58449402941335
2019-05-15,1.1979221881,6.22471188033298,4.49635003726226,5.66217262753017,1.50040119112415
2019-05-16,-0.43997485845,5.67076334432767,4.33087561239556,3.48281342129518,1.44018341721842
2019-05-17,-0.56818181829,5.11542496458173,4.00829102391831,3.6147351188775,2.86768653556703
2019-05-20,-3.126984127,4.54943601155249,3.58575383047168,3.32987669593033,3.13917754387772
2019-05-21,1.9170899557,4.11073608149116,3.27105641246736,3.1137929392038,1.14262474468339
2019-05-22,-2.0471596999,4.6911175640346,4.14951309491709,4.04871668064685,1.53575873320112
2019-05-23,-1.7069701281,4.48224343132453,4.22886234858804,3.69803475766735,2.07286666686716
2019-05-24,-0.38405877758,4.43753382129261,4.52750334999414,3.8387315737079,1.07898916505001
2019-05-28,-0.41347711913,4.25838672238132,4.58660069358324,3.72186502915738,2.18855615379848
2019-05-29,-0.47691185546,3.8152161952376,4.04445572774715,3.31392213585197,1.75333294626931
2019-05-30,0.51866050289,3.43833565996725,3.60660861762371,3.06288104063882,1.19175460970182
2019-05-31,-1.8115535614,3.12126682023163,3.24931226495514,2.83863456133151,1.3937964577001
2019-06-03,-1.0110241617,2.84573040792261,2.90192244386263,2.97974946676538,10.6972162670981
2019-06-04,3.6583958454,2.94284663068216,3.20037111453402,2.87072558665781,1.48176236478229
2019-06-05,1.6143397908,2.81691262537237,3.10616157333164,2.75485261511178,2.19837638801161
2019-06-06,1.4681713596,3.7745858073831,4.05780070308892,3.99552401184135,1.29824640538662
2019-06-07,2.6616996005,3.59999125292431,3.98548459942604,3.4832842183546,1.53350399613206
2019-06-10,1.2779384697,3.41278409571446,3.8551577454854,3.56398256714058,1.58774262528448
2019-06-11,1.1579603281,3.7039391164381,4.30974777151815,3.82074339785322,1.51338959288139
2019-06-12,-0.31825881624,3.45324968635971,4.07868328696529,3.42141306177657,0.990587766206616
2019-06-13,-0.020598383071,3.2162765488911,3.78345335277973,3.22273102819768,1.11183688789165
2019-06-14,-0.72624259592,2.9200056475432,3.36719873393811,2.97486028866772,0.943730273105104
2019-06-17,0.59665871122,2.6436525493809,2.96919280301006,2.73525174744307,0.670687983468335
2019-06-18,2.3518489865,2.47542155178041,2.78838159165115,2.59336109231041,1.51799392302213
2019-06-19,-0.29226505403,2.31068340991743,2.53303755928256,2.83267488305435,1.46426739316188
2019-06-20,0.80355789141,2.60372936254957,2.97398424292504,2.7272397159577,0.861529860058307
2019-06-21,-0.34092048527,2.40039726021043,2.66861767041749,2.44292324223596,0.697994397371143
2019-06-24,-0.10061374387,2.24251738728238,2.46212278356155,2.69848100384319,0.498209740699316
2019-06-25,-1.5157619095,2.09000285237918,2.23506289048526,2.0997110558498,1.07718969165705
2019-06-26,2.1629084215,1.94353905193376,2.01687302662673,2.35884511780898,0.8302141554538
2019-06-27,-0.030030030121,2.0701762295895,2.27591296358156,2.13069659262651,0.471860599937116
2019-06-28,-0.91118453993,2.33751250358637,2.64558047409426,2.84958520714585,0.711877037500728
2019-07-01,1.8340743734,2.14893665725599,2.35497559746373,2.45470373568756,0.954997958082256
2019-07-02,0.58546266446,2.09154876773983,2.32738275971748,2.46326820470053,0.599448684599422
2019-07-03,0.82868840327,2.2281051401695,2.57107725523302,2.69607687451522,0.231909301648783
2019-07-05,-0.088058314122,2.07501396949479,2.33021966481031,2.43370725536434,0.467471898955938
2019-07-08,-2.0614013611,1.97177374042002,2.18252655991815,2.30092455878417,0.830855364025716
2019-07-09,0.60993900606,1.84653814344668,1.9689019814271,2.1867512096393,0.627767292190451
