"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_APPLE"
2013-05-17,-0.30328272496,1.69155336727008,-4.39613186130619,-6.03867739245455,-2.98835319558403,-4.58247288154854,2.26693779338842
2013-05-20,2.2319161706,1.73427407559482,-4.51241890747712,-6.22883814615085,-3.06890437866214,-4.629480449,2.46674503834829
2013-05-21,-0.73826564012,1.67844025375362,-4.36199648134357,-6.0141215008403,-2.96546323627744,-4.58247288154854,3.2014066219708
2013-05-22,0.38529772992,1.71564918065317,-4.46360997443987,-6.17149109029508,-3.03537501853285,-4.6201123328515,3.01538833497911
2013-05-23,0.17808833727,1.78706601825157,-4.65697082325353,-6.3192718055125,-3.16942339851574,-4.73677101956387,2.60849651064961
2013-05-24,0.68077984342,1.75280100933349,-4.56399177144475,-6.28850226950175,-3.10443990275298,-4.65790198728466,1.08835006934118
2013-05-28,-0.83365157816,1.69973829852009,-4.42156781291579,-6.1437433459371,-3.00645205450166,-4.60124056839112,2.02449779173967
2013-05-29,0.79535337845,1.56143340490633,-4.04657943966364,-5.61243226573256,-2.74655382817093,-4.31829289560396,1.47875936876369
2013-05-30,1.4900550623,1.59671286539118,-4.14308272993866,-5.6858662424939,-2.81397628597926,-4.38198771900825,1.17778310436561
2013-05-31,-0.40856548121,1.50360135618053,-3.8922883976528,-5.39807828742222,-2.64111555576015,-4.19216837296073,0.893369518475971
2013-06-03,0.21901786622,1.41516089701682,-3.65263602082278,-5.12628841951176,-2.47500077183569,-3.97705622102183,2.30182035957928
2013-06-04,-0.31283280086,1.32444074418155,-3.40685820996324,-4.87802604534255,-2.3045658873996,-3.76431923319038,1.25377574142322
2013-06-05,-0.93476664215,1.46021547692644,-3.77431933914226,-5.22816479485766,-2.55944256994965,-4.10815032140087,1.7248562430865
2013-06-06,-1.4940127159,1.36412054449442,-3.5141776674433,-4.96427080754586,-2.37900320808607,-3.85016838116752,2.15153126089555
2013-06-07,0.76426583946,1.40588727867138,-3.62735604550322,-5.10162746140496,-2.45724606213976,-3.96930916656482,1.77410367343335
2013-06-10,-0.66114243409,1.47082978966508,-3.80369334093319,-5.29608571297642,-2.57954768624768,-4.14218551875265,3.17672188050345
2013-06-11,-0.29392330662,1.48107029831147,-3.83140788939149,-5.32455151973173,-2.59860091901577,-4.14905644810222,2.20925599894128
2013-06-12,-1.2362888483,1.59627585890882,-4.14385512074297,-5.6858662424939,-2.81472822852408,-4.38965052811762,1.46247633292366
2013-06-13,0.87345843258,1.57588036211259,-4.08898557965663,-5.63062761372471,-2.77654738077334,-4.36527893381225,1.8608836628197
2013-06-14,-1.3567602904,1.52374831413063,-3.94755601636254,-5.41322961211327,-2.67897941714376,-4.24155471099434,0.870790569606192
2013-06-17,0.45343564707,1.53687909099358,-3.98298114575244,-5.50799836025543,-2.70374002907765,-4.27143318641298,1.33290618743245
2013-06-18,-0.053240740726,1.44309741090963,-3.72863871623313,-5.20218226459911,-2.52749976063314,-4.06858766191097,0.826757215719169
2013-06-19,-2.0311740047,1.39538993874304,-3.59964949200639,-5.0539732011936,-2.43832961184391,-3.94543167649689,1.19077208948019
2013-06-20,-1.4567375886,1.30023572712963,-3.34193816771872,-4.82714235283288,-2.25982338540958,-3.72199085454147,2.3739528128189
2013-06-21,-0.80079071486,1.31121354384262,-3.37160334582561,-4.82714235283288,-2.28002386571779,-3.73181658553502,2.62305921169222
2013-06-24,-2.6505441354,1.40830488920258,-3.63486485962463,-5.11389635356917,-2.46178549268058,-3.9872604038716,3.41110917164112
2013-06-25,0.022358026399,1.48830203165879,-3.85176474951796,-5.32455151973173,-2.63095958251629,-4.16999506024234,1.79474108163192
2013-06-26,-1.132553461,1.60706857483412,-4.17364043799962,-5.78550929811169,-2.85494893377016,-4.43086575800372,1.84544494326558
2013-06-27,-1.077699902,1.54892521363852,-4.01651692348095,-5.55908792775843,-2.7456516944336,-4.32533382761741,1.68234581509655
2013-06-28,0.69835949016,1.57585945432892,-4.09007592821383,-5.63062761372471,-2.79680490811371,-4.37338431972923,2.36434504677362
2013-07-01,3.2002622753,1.54195332865234,-3.99768247714419,-5.54174209324333,-2.73231114268354,-4.30967195652168,1.66889626649581
2013-07-02,2.2652851767,1.57275375513638,-4.08187994140905,-5.63062761372471,-2.79090290789806,-4.37338431972923,2.23152233344049
2013-07-03,0.55198451555,1.47109694244562,-3.80588169456676,-5.31027823336286,-2.59816095387102,-4.14242586264779,1.8167201555566
