"Date","Return","Vol_HAR","VaR_HAR_1","ES_HAR_1","VaR_HAR_5","ES_HAR_5","RV_AMZN"
2022-06-06,1.9942787087,2.58330827918571,-8.1022747022106,-10.58362887028,-4.74388315370102,-6.79650265761944,10.0964529779321
2022-06-07,-1.4344098086,2.39042057461082,-7.49113015665386,-8.90049908100833,-4.37094738088838,-6.33950227958444,5.75664410309259
2022-06-08,-1.4796747967,2.91051050434513,-9.14259548687576,-11.144473184725,-5.35317495793794,-7.20225163982759,3.49371749465585
2022-06-09,-4.1508499752,2.45984279274484,-7.70744262295671,-9.5590837716375,-4.51201371823651,-6.5799185550375,5.06979437178471
2022-06-10,-5.5962117951,2.14112684533457,-6.69183800218072,-8.65734389945,-3.92898407147101,-5.9664410642463,6.44267998563113
2022-06-13,-5.4537163703,2.29616813247657,-7.18262366253039,-8.7728165469,-4.23298870723592,-6.3233437907913,11.1201530025509
2022-06-14,-1.3118549242,2.4542350428059,-7.68389971746234,-9.5590837716375,-4.57285361760851,-6.52968262778333,7.1952144109638
2022-06-15,5.2389795717,2.90264120248457,-9.10601875480868,-11.144473184725,-5.42497117806918,-7.21253782806552,13.587230002652
2022-06-16,-3.7243428996,2.54146181344679,-7.96255399180141,-10.58362887028,-4.74079224427615,-6.72957957472895,7.24909533593062
2022-06-17,2.4696121936,3.19379149858121,-10.0319330571908,-12.5233433775,-5.98338369004713,-8.12975587782778,8.64253272991439
2022-06-21,2.3159480324,2.66503891813938,-8.35524194926477,-11.144473184725,-4.97569754840041,-6.78136218423784,4.92192970775193
2022-06-22,0.24843577467,2.81204609034853,-8.82153447349371,-11.144473184725,-5.25729045834915,-7.03751920715313,6.36161622112481
2022-06-23,3.203304268,2.39221701803065,-7.48806497750288,-8.90049908100833,-4.45572404417666,-6.4815516628,7.41175358823807
2022-06-24,3.5752401282,2.52659185337171,-7.91667941814846,-10.1400375210667,-4.71316006415267,-6.72957957472895,4.10634770533876
2022-06-27,-2.7820710974,2.56988469103914,-8.05462193036631,-10.58362887028,-4.79670131069739,-6.72957957472895,6.34014183230933
2022-06-28,-5.1404345521,2.18087995601206,-6.8158218015633,-8.65734389945,-4.05106954896395,-6.0236804906963,6.90385762223872
2022-06-29,1.4152700185,2.39921387775043,-7.50788437950974,-8.90049908100833,-4.46682538797948,-6.497374533,8.59516159703754
2022-06-30,-2.4880646346,2.47520750102787,-7.74992636298069,-9.5590837716375,-4.61460597637433,-6.54314348890476,9.7307738270028
2022-07-01,3.1541286131,2.66712398173284,-8.35878277290205,-11.144473184725,-4.98278961260876,-6.73817987812895,7.65263815843881
2022-07-05,3.5962029939,2.79786229458069,-8.77577124083928,-11.144473184725,-5.23562674584371,-7.03751920715313,6.71576918937519
2022-07-06,0.73127753294,2.63374099174274,-8.25502263177083,-10.58362887028,-4.922721855495,-6.73817987812895,8.87646514184315
2022-07-07,1.7493221378,2.54470335646846,-7.96921030097661,-10.58362887028,-4.74920046540611,-6.68883226645641,3.57562475158781
2022-07-08,-0.67910255302,2.76771931506874,-8.6768912440986,-11.144473184725,-5.17129263806417,-6.93000216810882,3.24266363039695
2022-07-11,-3.2802492644,2.17384142089529,-6.79111917930745,-8.65734389945,-4.03762911099245,-6.00762147363091,4.43998739667174
2022-07-12,-2.2639821029,2.05263772338344,-6.40545702670221,-8.65734389945,-3.80549099274341,-5.70754115816719,5.07327162352255
2022-07-13,1.0803882073,2.15868258794193,-6.7430062480185,-8.65734389945,-4.00819754050574,-6.00762147363091,9.79871033263806
2022-07-14,0.20833333328,2.21871272790956,-6.93244230309285,-8.65734389945,-4.12405473088539,-6.07942645947925,7.29431388176943
2022-07-15,2.6394287264,2.71712454406053,-8.51464709434223,-11.144473184725,-5.07544224731492,-6.78347513971081,5.24506771914596
2022-07-18,0.18494055475,2.50860773202397,-7.85296697894881,-10.1400375210667,-4.67709095274652,-6.63856680925,5.16589986857492
2022-07-19,3.9117440225,2.30686086790026,-7.21228021486037,-8.7728165469,-4.29184746087333,-6.28058261039167,2.98726665675708
2022-07-20,3.8575416631,2.30230679311754,-7.19913455492289,-8.7728165469,-4.28453181383527,-6.28058261039167,4.26618782575198
2022-07-21,1.5150281013,2.01140922268211,-6.27611823258979,-8.24606956977647,-3.730668984378,-5.56638291983188,5.0341613474833
2022-07-22,-1.7732488164,2.10133073791199,-6.56273380016203,-8.65734389945,-3.90417450422793,-5.90144781516034,5.2496444242745
2022-07-25,-1.0455807875,2.16326300732476,-6.75838861016902,-8.65734389945,-4.02123452612872,-6.00762147363091,4.07998055204951
2022-07-26,-5.2253590887,2.18845978932988,-6.83714088861942,-8.65734389945,-4.06697742348618,-6.00762147363091,5.32600954051454
2022-07-27,5.3653862904,2.03378004665746,-6.34365053667662,-8.50448431149333,-3.77255214951141,-5.64272843144328,5.02005750070805
2022-07-28,1.082913119,2.20640541042269,-6.8924018627127,-8.65734389945,-4.10341572752254,-6.02832913576545,4.10352942681613
2022-07-29,10.361465489,2.18010105808681,-6.80939828376838,-8.65734389945,-4.05348373874198,-5.99365250247143,7.34254751963755
2022-08-01,0.32604668395,2.05871685256339,-6.42485228906782,-8.65734389945,-3.82394041997773,-5.79146849515,6.54332777387606
2022-08-02,-0.90848659438,2.44548892223077,-7.65340502686487,-9.5590837716375,-4.56399688726711,-6.46846509108409,4.46964011687439
2022-08-03,3.9952295767,2.38342984214305,-7.45664239642837,-8.90049908100833,-4.44520687418556,-6.42383366980444,3.44182619655295
2022-08-04,2.1860665138,2.13598568913738,-6.67201116904966,-8.65734389945,-3.9727530779123,-5.95881874654386,4.67392771977405
2022-08-05,-1.2414954058,1.98667303549818,-6.19819792777943,-8.24606956977647,-3.68777355731713,-5.51017734646528,3.98537160028963
2022-08-08,-0.98721590912,2.14160574938185,-6.68989192166892,-8.65734389945,-3.98363028557664,-5.95881874654386,3.3741932046204
2022-08-09,-1.1333476794,2.01316170411392,-6.28155653462062,-8.24606956977647,-3.73738099845906,-5.58801743751594,3.07480963398102
2022-08-10,3.5260828554,1.89501480137635,-5.90616213226193,-7.90970435576,-3.51110608089922,-5.29768382821358,3.99894135883819
2022-08-11,-1.4366809167,1.83657809302854,-5.72073438256471,-7.63714408917391,-3.39976612112567,-5.17085305948966,2.80059751520484
2022-08-12,2.0691126281,1.96568962224537,-6.13067776860824,-8.12975587782778,-3.64634284039043,-5.46036864503378,2.57329155769196
2022-08-15,-0.25774991309,1.77660124408591,-5.52996923883051,-7.3431200756963,-3.28457822618044,-5.0910660442044,1.88967207291027
2022-08-16,1.1174745077,1.71370708089025,-5.32981674067808,-7.09403953936774,-3.16364783808597,-4.85592416236923,3.0365071981513
2022-08-17,-1.8510844038,1.57901246011689,-4.90198154865304,-6.69938960147692,-2.90463779807605,-4.54037136380397,3.49812304781001
2022-08-18,0.14074595347,1.74955438850504,-5.4441136550118,-7.21253782806552,-3.23095253584946,-5.0516913779957,2.05741997839709
2022-08-19,-2.8601546031,1.80589999514828,-5.62365370499573,-7.481839480216,-3.33911683743875,-5.11062532183444,1.81290602900115
2022-08-22,-3.6243941257,1.57853344227346,-4.90079701644717,-6.69938960147692,-2.90337120557252,-4.54037136380397,2.00202865748673
2022-08-23,0.30025521701,1.52287968932088,-4.72390761463777,-6.6522454370125,-2.79819846265834,-4.40996375145766,2.74918696197264
2022-08-24,0.13471037255,1.55095387973413,-4.81262155691486,-6.6522454370125,-2.85157289404262,-4.48259948468321,1.90619059887011
2022-08-25,2.6008968611,1.66032551937297,-5.160505559579,-6.88129808012571,-3.06096780783361,-4.6800863200069,2.18898218475544
2022-08-26,-4.7567016317,1.49753759376444,-4.64495911361135,-6.60409832826098,-2.75091704257337,-4.35283978126268,6.39037122149999
2022-08-29,-0.73422562155,1.54247273400565,-4.78508816251787,-6.6522454370125,-2.84010551242739,-4.47236394222481,4.19254983760708
2022-08-30,-0.81670390628,2.17460118717266,-6.79315876428023,-8.65734389945,-4.05046163998943,-5.97195161000175,4.29596835639995
2022-08-31,-1.5225666122,1.92913732619775,-6.01482333393371,-8.12975587782778,-3.58108600187819,-5.35787273851139,4.7166444868367
2022-09-01,0.82827167298,1.95753075008409,-6.10541470722708,-8.12975587782778,-3.63563748264164,-5.45098641818933,4.28855816580132
2022-09-02,-0.24252855574,2.04186331719076,-6.3737155666515,-8.65734389945,-3.79731124711082,-5.68582870974394,5.7375869756022
2022-09-06,-1.0979531017,2.01199250388745,-6.28273923343589,-8.24606956977647,-3.74219266210613,-5.57614149743286,5.23113235162315
2022-09-07,2.6722702403,2.18371308383629,-6.82390637978087,-8.65734389945,-4.06827497361949,-5.97195161000175,2.64807499752411
2022-09-08,0.2625888168,2.13623712899836,-6.67418638797424,-8.65734389945,-3.97778696745261,-5.93809258939138,4.32254231874714
2022-09-09,2.6575258049,1.7803861797314,-5.54318434207941,-7.3431200756963,-3.29603671860025,-5.07170006215054,1.99501958259842
2022-09-12,2.3861334133,2.00086054103451,-6.24536616606731,-8.24606956977647,-3.71915716951926,-5.52481701511667,2.45991599470568
2022-09-13,-7.0575302309,1.64632708587611,-5.11769180149224,-6.78710731977838,-3.03940173561243,-4.66692798035593,3.21950345622866
2022-09-14,1.3641381487,1.66786994894223,-5.20223814728092,-6.88619341764722,-3.08575942004868,-4.75805552783246,4.39159807301813
2022-09-15,-1.7658498639,1.75320440152939,-5.47348922793918,-7.33292043838214,-3.24900257751481,-5.07374616079263,3.80073140912268
2022-09-16,-2.1777003484,1.93893685122367,-6.06561665221675,-8.0733229490421,-3.60522403103828,-5.42488646579103,5.5270936263935
2022-09-19,0.91475754889,1.85644533428641,-5.80138686172902,-7.6937595602913,-3.44605748134235,-5.20982455093977,3.09900944884047
2022-09-20,-1.9813893791,2.12157053625115,-6.64751416561108,-8.55068965488,-3.95570887882102,-5.95706610873898,2.65313606072623
2022-09-21,-2.987151158,1.81623678106113,-5.67428547682532,-7.46551989370385,-3.3697838306683,-5.15036347223846,8.75190949766393
2022-09-22,-1.0376244306,1.747079700496,-5.45010072259266,-7.26812029810345,-3.23491323324503,-5.05464504314479,5.21317586802772
2022-09-23,-3.009121132,2.52561804126651,-7.92939512085317,-10.58362887028,-4.72677993889747,-6.61676307959762,4.06623463453302
2022-09-26,1.2040780453,2.16190605947899,-6.77037496803347,-8.55068965488,-4.02878926561489,-5.99066848277586,6.27651879649536
2022-09-27,-0.64264003477,2.00799062044583,-6.27900318890778,-8.18003960650556,-3.73329420470678,-5.59700612748169,5.15672417123851
2022-09-28,3.1465780963,2.30742873092501,-7.23136398864616,-8.7728165469,-4.30617509849148,-6.24524620098235,3.98282461953601
2022-09-29,-2.7201084654,2.21187486647847,-6.92820835130693,-8.55068965488,-4.12434385671123,-6.05802130899464,3.96509961634761
2022-09-30,-1.5679442509,2.01443275333023,-6.30050250883943,-8.29124413854118,-3.74664882644503,-5.59700612748169,5.11899499392502
2022-10-03,2.5486725664,1.99720331999016,-6.24484763500708,-8.18003960650556,-3.71306709407704,-5.54581308656575,4.21095315444234
2022-10-04,4.4960303763,2.15099489111891,-6.73545124694061,-8.55068965488,-4.00881389488926,-5.99066848277586,3.39463407261439
2022-10-05,-0.1156164837,2.01637485704683,-6.30853543513168,-8.29124413854118,-3.75259736606335,-5.62337928086286,3.93706575069104
2022-10-06,-0.5374121537,1.88809674047426,-5.89767422455362,-7.86912463552857,-3.50447970247905,-5.29227400087619,3.79700134901529
2022-10-07,-4.7714048213,1.95654088999904,-6.1155987711195,-8.0733229490421,-3.6357975694126,-5.4721251525671,3.07968917331258
2022-10-10,-0.7768854749,1.93429863579212,-6.04438501887719,-8.0733229490421,-3.6134593420069,-5.41661454624051,4.54554505919683
2022-10-11,-1.2844198119,1.81221159389399,-5.65520027954864,-7.46551989370385,-3.37833358499106,-5.14624435646739,6.48028558083015
2022-10-12,0.61491845645,2.01106343314396,-6.2862156986039,-8.18003960650556,-3.76098784655115,-5.63783487986571,4.63381440934204
2022-10-13,-0.32772364921,2.27879611622479,-7.13718137367638,-8.65734389945,-4.27650617562055,-6.21690309752692,14.5665856294765
2022-10-14,-5.0031102817,2.07632939518896,-6.48801498264019,-8.55068965488,-3.88462411132182,-5.8724995008371,8.26820300067533
2022-10-17,6.4452759587,3.14584654260139,-9.88534704011847,-12.5233433775,-5.94426544741989,-7.967166155935,4.41621417513251
2022-10-18,2.2585464452,2.64233664826302,-8.28817532984129,-10.58362887028,-4.97723034637047,-6.6667520724439,6.62747789330543
2022-10-19,-1.1086283947,2.24515609682518,-7.02571706478476,-8.55068965488,-4.21138419796716,-6.19400134628491,5.27376165905988
2022-10-20,0.15642652306,2.48315181232595,-7.78151330345582,-9.5590837716375,-4.67021494859845,-6.49681729831778,4.93247357367536
2022-10-21,3.5314533621,2.35037104775855,-7.35963084458525,-8.90049908100833,-4.41469556799497,-6.301801363654,6.02368150398477
2022-10-24,0.41904123373,2.21445540281714,-6.92898507828894,-8.55068965488,-4.15254217055384,-6.15701492169259,5.67684432107707
2022-10-25,0.65097646475,2.30928903472268,-7.2294688895795,-8.7728165469,-4.33514117937592,-6.19400134628491,3.69802228761499
2022-10-26,-4.0961857379,2.28452589510086,-7.15057232092263,-8.65734389945,-4.28779863550759,-6.19400134628491,5.80130218040338
2022-10-27,-4.0636347917,2.02027797768037,-6.30896806358626,-8.29124413854118,-3.80833145856383,-5.68676680506812,8.96473913443688
2022-10-28,-6.8042537851,2.27350567031102,-7.11004639212425,-8.65734389945,-4.29621493897467,-6.19400134628491,16.7641616403447
