"Date","Returns","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","RV_AMZN"
2012-06-06,2.0777637072,6.25776157199968,4.92258365949079,6.71317845720968,2.38360636056015
2012-06-07,0.53299025931,6.21485662703081,5.06396249800718,6.73192548597768,2.27150226623066
2012-06-08,-0.14625228532,6.11271836060479,4.82244231300557,6.58435272815723,1.42497229343043
2012-06-11,-0.90626144265,6.01185920185998,4.57126723740068,6.5011835874514,2.62164040893752
2012-06-12,-0.03695150117,5.93046890488219,4.4443718333293,6.45474767296397,2.87643663650506
2012-06-13,-0.78088901209,5.83306832948537,4.21126809600468,6.36189331464006,1.65285066349706
2012-06-14,-0.13039631158,5.75176381291324,4.07899599716033,6.3123437050003,2.12492929712996
2012-06-15,1.8186057356,5.65931115330888,3.87094120701275,6.22862598131539,1.01151704589301
2012-06-18,1.9738951225,5.61489341247211,3.98058002667103,6.24884430067812,2.53932657541515
2012-06-19,0.61528788301,5.58066483348306,4.12720484359689,6.24161468006952,1.40731537896541
2012-06-20,-0.45083247787,5.49475004467591,3.95196880977405,6.11084013805085,2.44161594731331
2012-06-21,-1.0963142318,5.41305608009569,3.78046550877224,6.04841933971192,2.39660508471422
2012-06-22,0.7185764478,5.35316094791566,3.74082348966044,6.02650813216267,1.62297876390707
2012-06-25,-0.94076341375,5.27445440488164,3.60358153744077,5.94559817594133,1.5357291755098
2012-06-26,2.5173808335,5.21177942985579,3.53845813668129,5.91438390787626,2.95578116258122
2012-06-27,0.0044324277042,5.22545487390515,3.82660078556888,6.0525482445209,2.30654768124552
2012-06-28,-1.9102916408,5.14454493298075,3.62890249651451,5.85265677346715,2.56999013158967
2012-06-29,3.1810582441,5.13599726779898,3.7999313539864,5.94208796564749,1.04864510192468
2012-07-02,0.42478651194,5.2117425464866,4.22749991719531,6.22705069323051,1.6932671224041
2012-07-03,0.091575091574,5.13216408500724,4.02378032496295,5.86181601433093,0.66137047321747
2012-07-05,-1.0761120551,5.05318695353542,3.81434231297325,5.78919339240989,1.73376043404554
2012-07-06,-0.88522857395,5.00098881981373,3.76817720714139,5.77944924373668,1.90896471573136
2012-07-09,0,4.94282754735459,3.6822068379307,5.72970477476069,1.56149108094662
2012-07-10,-2.4661186404,4.86863821274435,3.49295620484698,5.65480330412924,2.7443419738371
2012-07-11,-0.51480637812,4.91012394592917,3.79523844371773,5.8915815755465,3.27205744154184
2012-07-12,-1.3783944681,4.84363270319321,3.64155680812638,5.65809744433058,2.75107066786877
2012-07-13,1.4069465082,4.81030631575066,3.67762874915179,5.66931044360095,1.66133663332564
2012-07-16,-1.0897934886,4.76571115276618,3.69011915779284,5.62274464039767,1.66088566939413
2012-07-17,0.42590620797,4.72089062910716,3.65372758178754,5.58892815491004,2.37085818500622
2012-07-18,0.24892822566,4.65295831158554,3.48357126195093,5.50963154108142,1.47261980845741
2012-07-19,4.0005518003,4.58548313841713,3.31020649464165,5.45800359672105,2.8523298762516
2012-07-20,0.93734801249,4.76909901515734,3.83532239811458,6.41681164768534,2.51938999229753
2012-07-23,-0.99872968585,4.70926483861379,3.73240773212453,5.61071714126934,2.89692932487775
2012-07-24,-1.3141011461,4.66215291122574,3.67298813032576,5.55879374478604,2.71682918677692
2012-07-25,-2.6856169296,4.62991434895611,3.69154835833387,5.55574751876459,2.97912526836468
2012-07-26,1.3637410735,4.69709041933833,4.04143238038074,5.843143376264,3.49911654315818
2012-07-27,7.8678241898,4.65337792902603,4.02489540445709,5.57910495905632,7.71253440163064
2012-07-30,-0.51828754422,5.58700991556211,4.90564125181502,17.5042938544844,3.95653464593913
