"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_AMZN"
2012-12-20,1.3605178494,1.92664811469106,2.22462748524009,1.86004746416798,-4.5204877717203,-4.98297170474722,-4.12104018598824,-7.15373979143889,-7.73703740896897,-6.50002639653617,-2.5383916978899,-2.86394845480389,-2.47118487053945,-4.38651661631313,-4.73846316002419,-4.27033797687935,1.5613693071154
2012-12-21,-1.7514340344,1.92181535524451,2.22119691479631,1.86196489877103,-4.50063555355458,-4.97960445387165,-4.12611976827786,-7.08224166706351,-7.69033469031017,-6.50002639653617,-2.52982874406889,-2.85760326138535,-2.47445360394539,-4.37231136269425,-4.73846316002419,-4.27687874503527,1.91905050616802
2012-12-24,0.66168457106,1.92835896857883,2.2415059077341,1.89790759550717,-4.5060089938077,-5.02964377579296,-4.21197046209501,-7.08224166706351,-7.83464227081964,-6.5253337455914,-2.53945021071435,-2.88687145107989,-2.52533189350244,-4.38651661631313,-4.79194169827225,-4.37231136269425,1.07181461383669
2012-12-26,-3.8622689661,1.91484736307201,2.21225407755202,1.85898391704353,-4.47238433596951,-4.95552723077122,-4.11917507713146,-6.98088991413506,-7.64485399365667,-6.50002639653617,-2.51948275326369,-2.84489616080184,-2.47033078553685,-4.36526082937595,-4.73846316002419,-4.27033797687935,2.17106074306164
2012-12-27,-0.12926766285,1.98052663011588,2.54606096303055,2.00077299833861,-4.62001070067052,-5.72398980746859,-4.44252695464299,-7.30489814096912,-9.13170543268378,-6.94853599675256,-2.61685346801252,-3.30287279985719,-2.66675972459763,-4.52687754955228,-5.41300018012208,-4.58323543555598,3.64522102759125
2012-12-28,-1.2605211228,1.96750990067705,2.251896918568,1.94872493587808,-4.58915393613648,-5.05634553238819,-4.32643848534715,-7.19032662278028,-7.88563158945273,-6.76667627965714,-2.59730856122091,-2.90302083698447,-2.59729559822005,-4.48021148646235,-4.8242625429335,-4.48021148646235,2.00043141718135
2012-12-31,2.3207439433,1.96255577634691,2.24745907029485,1.94618908108964,-4.58059103029816,-5.04755405932265,-4.3207413586597,-7.19032662278028,-7.88563158945273,-6.73791131844235,-2.59246035422039,-2.8981854194325,-2.59475068252035,-4.47261667681653,-4.8242625429335,-4.47261667681653,3.75279254671509
2013-01-02,2.5670666082,1.97337218711866,2.2830692406348,2.00999486938907,-4.60269204943674,-5.11728591646623,-4.46452724734536,-7.30489814096912,-8.10600850742745,-6.98088991413506,-2.60687457824346,-2.94495789643577,-2.68162346972492,-4.51112321139547,-4.90096804597273,-4.59139958007425,2.38724905442002
2013-01-03,0.45470444202,1.98807966598301,2.30575861475181,2.08484071938017,-4.63589400824758,-5.16677378300569,-4.63170585670928,-7.30489814096912,-8.10600850742745,-7.30489814096912,-2.62815121351781,-2.97585908143364,-2.77659764318906,-4.54278211578661,-4.94087271171907,-4.64940835876947,1.34809943074255
2013-01-04,0.25920767548,1.97360515092527,2.2454678944124,2.03168308042113,-4.60583564905396,-5.03573892455122,-4.51486916889876,-7.30489814096912,-7.88563158945273,-7.15373979143889,-2.60898599432903,-2.89286052906863,-2.70708986778535,-4.51112321139547,-4.79660140455407,-4.61611282877609,1.2785375330089
2013-01-07,3.5922052864,1.95735935196377,2.23792636544769,1.97928327957201,-4.57498133099235,-5.01832300187826,-4.39264078056632,-7.19032662278028,-7.83464227081964,-6.82541008344756,-2.58903522641596,-2.8833596931741,-2.63390556282355,-4.46506266071125,-4.77850577210806,-4.54278211578661,2.27442834106344
2013-01-08,-0.77449385235,2.00077716447447,2.41820870473951,2.10699103317383,-4.67148234716699,-5.43490681809528,-4.67795374559282,-7.3444926526403,-8.63590772560233,-7.3444926526403,-2.64856009761248,-3.126090446487,-2.80388530321156,-4.55881226383629,-5.13594570312102,-4.6828340920518,1.99892590858623
2013-01-09,-0.011262106636,1.9889184812043,2.27308583118992,2.07110836028004,-4.6491693447601,-5.10212337578375,-4.59621009234248,-7.30489814096912,-8.10600850742745,-7.26564409913768,-2.63388219312681,-2.92449257120247,-2.75563513480534,-4.54278211578661,-4.86207478660644,-4.64940835876947,1.73013666862283
2013-01-10,-0.37920030045,1.97147171766357,2.25525074937079,2.01275961741002,-4.61792992311413,-5.06160117222164,-4.46044656604806,-7.30489814096912,-7.88563158945273,-6.98088991413506,-2.60968122094902,-2.89794398681762,-2.67846437750284,-4.51112321139547,-4.81495686748116,-4.58323543555598,2.35656608265773
2013-01-11,0.97987487752,1.95551491202382,2.24869665283126,1.96986954194306,-4.58962229592661,-5.04636395592811,-4.36033717720098,-7.19032662278028,-7.88563158945273,-6.7958332542506,-2.58927506620789,-2.88340554658673,-2.6151484682815,-4.46506266071125,-4.77850577210806,-4.52687754955228,1.31207517991635
2013-01-14,1.7877136674,1.9424781659341,2.23849411191483,1.94369102891152,-4.56622741488703,-5.02000722886389,-4.29665576562325,-7.19032662278028,-7.83464227081964,-6.6819350705977,-2.57335056715216,-2.86356330153812,-2.57237683774878,-4.45004654351394,-4.73440670542269,-4.45004654351394,2.73249581529826
2013-01-15,-0.30433029015,1.94501882973012,2.25662745508654,1.96830339651054,-4.56561038394023,-5.05979812026631,-4.35477182514541,-7.19032662278028,-7.88563158945273,-6.7958332542506,-2.57426297899434,-2.89200146760423,-2.61107771118625,-4.4560767049888,-4.80551532392788,-4.51760509997645,1.42063389544053
2013-01-16,-1.0923133504,1.92897538563352,2.22639303667226,1.92193045469161,-4.53666013569925,-4.99016846183454,-4.24456443283231,-7.15373979143889,-7.73703740896897,-6.60186868699556,-2.5538851827326,-2.84930844408845,-2.54375859196309,-4.42635325796732,-4.74274112649535,-4.39722687284535,1.02776545452691
2013-01-17,0.57635816011,1.92512817310904,2.23229552078836,1.91088157971116,-4.52349732803037,-4.99462876124715,-4.22250240102437,-7.15373979143889,-7.78516512135965,-6.5253337455914,-2.54572541862707,-2.85458562130782,-2.53092559953448,-4.41032570481641,-4.75136519100187,-4.38866924923127,1.17285099177659
2013-01-18,0.60632948826,1.91087426664095,2.20428052151538,1.87313671162494,-4.4948881751029,-4.93294815645828,-4.1363952155961,-7.08224166706351,-7.60041592386721,-6.50002639653617,-2.5274309367055,-2.82900578761272,-2.47937747307224,-4.38152245050923,-4.73363351745926,-4.29856236072978,1.79773799920314
2013-01-22,-0.70924592092,1.90052138575934,2.20428235650563,1.82809843170871,-4.46487110740239,-4.92805508041009,-4.04229448171147,-7.00611361089474,-7.64269137325833,-6.36771097035152,-2.50532142120593,-2.81765343130823,-2.42124450234128,-4.34360569355644,-4.70584122255459,-4.2116966052993,0.778920224845221
2013-01-23,-0.7698286392,1.88812195392217,2.18916481572977,1.8012914907373,-4.44361004693361,-4.91044719745865,-3.97739987149936,-6.97301193228961,-7.64269137325833,-6.23211601144095,-2.48992961910019,-2.80592225425085,-2.37647932077034,-4.32288264080824,-4.69719443825662,-4.12646092916711,1.0591375492912
