"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","RV_APPLE"
2021-08-31,-0.84247648911,1.59814441144207,1.51497970386483,1.50109626605725,-4.14181322067475,-3.9257560103966,-3.83706494531169,-5.93300335441667,-5.80859553149556,-5.72668149767021,-2.43921037689098,-2.32979788744871,-2.29963040551044,-3.74937251530063,-3.66064071029882,-3.622237122156,1.31387680604841
2021-09-01,0.44786932758,1.54222413901994,1.46507869836322,1.46712802042441,-3.9968175860076,-3.79800212736084,-3.74756304999529,-5.85053611543182,-5.64883989091429,-5.610986278356,-2.34914967714326,-2.25455722714012,-2.23823091133257,-3.67634447243988,-3.56302764499126,-3.54183572259194,1.35778733383174
2021-09-02,0.74749196774,1.47353452987655,1.39973849624765,1.38730026930119,-3.81911513026504,-3.63210541952682,-3.53738832221669,-5.68708097586458,-5.57434080731373,-5.39632495160714,-2.2416542004708,-2.14420787975507,-2.10918620997808,-3.54183572259194,-3.47284906487296,-3.4265400748266,0.874923157070093
2021-09-03,0.42303937535,1.42722722088729,1.36599129505101,1.34322095146791,-3.69851163232128,-3.54918949546749,-3.42074461298531,-5.57434080731373,-5.43010259802545,-5.20985639892258,-2.16900413280566,-2.09317960554292,-2.03762505365777,-3.49327007945181,-3.42002420649657,-3.32743905583699,0.758109064436516
2021-09-07,1.5489306545,1.37377638519297,1.32944797614268,1.27822895310385,-3.559504067066,-3.45227338172868,-3.2481401638471,-5.43010259802545,-5.269089264425,-4.99612429607571,-2.08498181429816,-2.03492592072859,-1.931414716791,-3.40072977217343,-3.32743905583699,-3.24137641340427,0.846222274984056
2021-09-08,-1.0083604569,1.40796669401827,1.36301195012402,1.35559119957068,-3.65027967256508,-3.5398681611606,-3.45228767225636,-5.57434080731373,-5.43010259802545,-5.269089264425,-2.1402860033334,-2.08514639322814,-2.05471596912901,-3.46608693915584,-3.40072977217343,-3.35128959118791,1.18198144094907
2021-09-09,-0.67049190893,1.39716371656449,1.36168823491707,1.37417869179618,-3.61796718459442,-3.53660260203937,-3.50274229577985,-5.536937337975,-5.39632495160714,-5.39632495160714,-2.12213623278612,-2.07637766438838,-2.08423793841794,-3.444919249567,-3.39935474095749,-3.40574140475049,0.788676244225768
2021-09-10,-3.3101836829,1.37460819861048,1.34534356164803,1.36741786089882,-3.55627280687177,-3.49555193337784,-3.48490472427238,-5.43010259802545,-5.33093181553621,-5.33093181553621,-2.08489088119966,-2.05842043043834,-2.07370170215992,-3.40574140475049,-3.35588284413131,-3.38668138002584,3.71197530693893
2021-09-13,0.38934013573,1.76101648920803,1.66108456696706,1.66038467567758,-4.58057391706992,-4.33760170598934,-4.24532074797159,-6.58316357217333,-6.27679974738857,-6.22239915680556,-2.7029789142199,-2.58688081507375,-2.54236785567532,-4.21405098535826,-4.05487767766797,-3.94663414088985,1.72851942868611
2021-09-14,-0.95620193915,1.66775727358655,1.51367225977015,1.55851783926939,-4.33264454280146,-3.93791711126327,-3.97866023238541,-6.27679974738857,-5.80859553149556,-5.85053611543182,-2.55723814039376,-2.32792921450601,-2.37603388260352,-3.97767543924148,-3.66618100572,-3.70597879532061,1.77998660486171
2021-09-15,0.6143667295,1.62312339070733,1.49068589225192,1.54897089236881,-4.21828373146364,-3.88757021733882,-3.96758575884291,-6.06864072600513,-5.76687741007174,-5.85053611543182,-2.48773607247312,-2.2935569586791,-2.37563464873959,-3.81421432974868,-3.62761912342229,-3.70597879532061,1.32134638261806
2021-09-16,-0.16104140104,1.55238649530511,1.42701087961197,1.47683844967113,-4.02989755366885,-3.70442198393589,-3.76324731768651,-5.85053611543182,-5.57434080731373,-5.64883989091429,-2.37315718912827,-2.19739510991817,-2.24322007044493,-3.70597879532061,-3.51186083313456,-3.54689943346075,0.844539121336586
2021-09-17,-1.8348007257,1.48506941481252,1.38274943598894,1.39603000578194,-3.84718130210122,-3.57831461321226,-3.56411798256581,-5.72668149767021,-5.50046579144151,-5.43010259802545,-2.27302625911422,-2.11713728121313,-2.12827999609453,-3.60483466440618,-3.43769142154059,-3.4508481124945,1.08001695476883
2021-09-20,-2.1361084487,1.56561967007966,1.45471471637106,1.5395063428169,-4.05263257276342,-3.76934764431141,-3.94388154741608,-5.85053611543182,-5.64883989091429,-5.80859553149556,-2.40341884835096,-2.21932626624565,-2.36072197685885,-3.73026429274568,-3.54689943346075,-3.69790692952711,2.16214044381827
2021-09-21,0.34280117525,1.68797717462936,1.61654198420196,1.72160303936329,-4.37935062979415,-4.19837816663725,-4.41636462433943,-6.33379340532941,-6.06864072600513,-6.39242730910303,-2.59592836177648,-2.49218684206047,-2.65183249963258,-4.06643255742913,-3.83185235385667,-4.12584834860902,1.65585108973615
2021-09-22,1.687234191,1.6055542894689,1.52422763859045,1.6157637151572,-4.15868117963954,-3.99757808483997,-4.1397026088598,-5.97655993097805,-5.85053611543182,-5.89131085713256,-2.46536188362421,-2.28045692726316,-2.48151125769119,-3.78832912863742,-3.62761912342229,-3.80550899240784,1.37698815302747
2021-09-23,0.67192320876,1.61999108541165,1.55908929800203,1.66598191761491,-4.19124363481809,-4.07957966326851,-4.2758738204073,-6.0217901045125,-5.85053611543182,-6.22239915680556,-2.48912295649175,-2.32950138977744,-2.56418292226522,-3.81421432974868,-3.66618100572,-4.02098956000534,0.716307365443741
2021-09-24,0.061295375599,1.55851624633917,1.4987237566514,1.59527614672504,-4.03279326832645,-3.91474407012545,-4.0891375603629,-5.85053611543182,-5.80859553149556,-5.85053611543182,-2.39332556904878,-2.23364332335626,-2.4503889253087,-3.72211253224479,-3.54689943346075,-3.77144336708854,0.601980133485862
2021-09-27,-1.0549959161,1.48752881346646,1.43387054373391,1.50223565987277,-3.8478697815184,-3.7747693455949,-3.84209315993054,-5.72668149767021,-5.64883989091429,-5.72668149767021,-2.27538407625145,-2.14755378465478,-2.30025000172861,-3.6123558951904,-3.47765442314643,-3.62761912342229,1.05217045905976
