"Date","Returns","Sigma2_HAR","RV_AMZN"
2014-02-19,-1.7729393468,2.71958768071495,2.50814368510776
2014-02-20,0.69664344519,2.60927909202232,2.26470816816005
2014-02-21,-0.86906803881,2.7639052222301,1.30254269915487
2014-02-24,1.4476871611,2.63457785176676,1.87987070344616
2014-02-25,1.8591164933,2.27503377076942,2.15871710492367
2014-02-26,0.41303862472,2.35716007755314,1.79702110442929
2014-02-27,0.091717621035,2.4359130193385,2.1070589855781
2014-02-28,0.54702468551,2.2634640682914,1.59686124807309
2014-03-03,-0.64070698718,2.30413307391991,2.31752646209876
2014-03-04,1.1451442548,2.20044991760997,1.35375807125014
2014-03-05,2.3275625173,2.4210712472796,1.81735571634568
2014-03-06,-0.056395520642,2.07509213277418,1.38612880286506
2014-03-07,-0.026870163401,2.14367413257177,1.30058399466183
2014-03-10,-0.41122399625,1.92836457977894,1.53372871697116
2014-03-11,-0.46150109292,1.85679838063256,1.40410898637613
2014-03-12,0.49346564738,1.81287277417245,1.67913245272016
2014-03-13,0.23472911707,1.78040804127715,3.37893448193917
2014-03-14,0.60025302155,1.83379523458969,4.44044794287536
2014-03-17,0.34783539359,2.48775414480189,1.39116903455725
2014-03-18,0.99456058015,3.11343916091876,1.19036491050371
2014-03-19,-1.4626290361,2.31907091800272,1.74840935827342
2014-03-20,-1.1413873483,2.23769094385617,1.96665599857604
2014-03-21,-2.2630566171,2.38147149247509,3.15689015487071
2014-03-24,-2.4319227996,2.2820916472826,4.11669492217285
2014-03-25,0.81284638327,2.44728519900042,3.30649473380581
2014-03-26,-3.1857009952,2.99905531344179,3.26175940627999
2014-03-27,-1.43851373,3.03878057123381,9.33428966671451
2014-03-28,-0.053180488612,3.20521256043724,3.06481383569162
2014-03-31,-0.56903839895,5.58268764610232,3.07131479262116
2014-04-01,1.9695866098,4.00041852305705,2.12579375448041
2014-04-02,-0.30030030048,3.89177816978592,3.41219073951143
2014-04-03,-2.4388817405,3.5270482656643,3.43895209038692
2014-04-04,-3.1832623944,3.87360029579648,12.3569638523203
